17-08-19,11:46:02,CP81TI,capture_17-08-19_11:46:02_CP81TI.jpg
17-08-19,11:46:52,YGL58U,capture_17-08-19_11:46:52_YGL58U.jpg
17-08-19,11:48:11,DPS63B,capture_17-08-19_11:48:11_DPS63B.jpg
17-08-19,11:48:44,NIC06L,capture_17-08-19_11:48:44_NIC06L.jpg
17-08-19,11:49:29,YNF71C,capture_17-08-19_11:49:29_YNF71C.jpg
17-08-19,11:50:23,YIP94S,capture_17-08-19_11:50:23_YIP94S.jpg
17-08-19,11:50:59,YNK09G,capture_17-08-19_11:50:59_YNK09G.jpg
17-08-19,11:51:43,CP81TI,capture_17-08-19_11:51:43_CP81TI.jpg
17-08-19,13:20:07,CP81TI,capture_17-08-19_13:20:07_CP81TI.jpg
17-08-19,13:20:07,CP81TI,capture_17-08-19_13:20:07_CP81TI.jpg
17-08-19,14:13:27,CP81TI,capture_17-08-19_14:13:27_CP81TI.jpg
17-08-19,14:13:27,CP81TI,capture_17-08-19_14:13:27_CP81TI.jpg
17-08-19,14:17:39,CP81TI,capture_17-08-19_14:17:39_CP81TI.jpg
17-08-19,14:20:25,CP81TI,capture_17-08-19_14:20:25_CP81TI.jpg
17-08-19,14:21:19,CP81TI,capture_17-08-19_14:21:19_CP81TI.jpg
